Date,Pool,Action,Token A Symbol,Token A Amount,Token A Price (USD),Token B Symbol,Token B Amount,Token B Price (USD),Total USD Value,Fees Collected (USD),Fees Collected (Token A),Fees Collected (Token B),Auto-Compound Harvested (Token A),Auto-Compound Harvested (Token B),Auto-Compound Redeposited (Token A),Auto-Compound Redeposited (Token B),Auto-Compound Leftover (Token A),Auto-Compound Leftover (Token B),Realized PnL (USD),Cost Basis (USD),Position Address,Pool Address,Transaction
2026-08-10T21:57:06.000Z,SOL/USDC,Close Position,SOL,0.630690697,76.287696,USDC,31.517761,0.999849,79.63,0.01,0.000073457,0.005944,,,,,,,0.05,0.00,F3oymHaPdYni97713jLTbCkgpr9pCsXaAbp7BMhKu8gA,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,7ySALvSLt1z91zyjY82SEUEe4KZfzq85duZXCtpgJ3cHn8V1i8BMQMN7kaN4okgnxN79FvNZxJCUJWVfsLVDQSU
2026-08-10T20:11:37.000Z,SOL/USDC,Open Position,SOL,0.643346968,76.214074,USDC,30.541097,1.000000,79.57,0.00,0,0,,,,,,,0.00,79.57,F3oymHaPdYni97713jLTbCkgpr9pCsXaAbp7BMhKu8gA,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,3wvboQk8XL5NNYZeqxgwwQUcuX9zk2YxkFHPeeYk59RaiCAo9XxEWpHmbXxxGcpx94dkRDNCz52fKs17hGSbkEP7
2026-08-07T05:49:43.000Z,SOL/USDC,Close Position,SOL,0.5412912,72.708897,USDC,47.825237,0.999748,87.17,0.02,0.00012632,0.010886,,,,,,,0.05,0.00,ExKkbqfqnNQ3WuaZEfbjPVYQWag7NLJaCxwLQRVpyWf2,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,3H2XMhcC8PAzvRJZzNqNtL6bc1ZjotHqomVH8SHBxpGdNAk4jYbsPYxGKzRqKkDXCe7BwjzUs36nDyvhLG2MEF9N
2026-08-07T04:45:00.000Z,SOL/USDC,Open Position,SOL,0.609121327,72.658362,USDC,42.874158,0.999730,87.12,0.00,0,0,,,,,,,0.00,87.12,ExKkbqfqnNQ3WuaZEfbjPVYQWag7NLJaCxwLQRVpyWf2,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,3a3EGPj2Zd2XsEx5iaE6gvb3XPFB5Tt78wH8h7FXsWNGhr5ZBCEH8wfZjDX7ohT53dgzXQ5WPXzU98Wj8bGgBzMT
2026-08-04T00:25:59.000Z,SOL/USDC,Close Position,SOL,0.599863029,73.394995,USDC,49.77901,0.999754,93.79,0.02,0.000159619,0.013234,,,,,,,0.01,0.00,DUrjwNaHCJWw38ati3jKmwfoWEAUngGMCUQHuSxHSLTG,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,8ZayEgu6hLvWMCh7oQFVBAaUQkwp8JaCLJ2tvxC3fKu85ZgjEyKv5dbuBV5SnrGbYE37oaNLhvN3AP4AVESsbnA
2026-08-03T23:34:28.000Z,SOL/USDC,Decrease Liquidity,SOL,0.761481414,73.421951,USDC,58.731341,0.999777,114.63,0.00,0,0,,,,,,,-0.00,93.79,DUrjwNaHCJWw38ati3jKmwfoWEAUngGMCUQHuSxHSLTG,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,2XEiAsQvMrXFpsvk16LLWbJNvabBoH8irW4gqZnBWtEagLnCxoY5ZXynL4L2zZQTHP4UKE5GuSioDoVDJcbdiLYf
2026-08-03T23:11:54.000Z,SOL/USDC,Open Position,SOL,1.420367518,73.405942,USDC,104.15222,1.000000,208.42,0.00,0,0,,,,,,,0.00,208.42,DUrjwNaHCJWw38ati3jKmwfoWEAUngGMCUQHuSxHSLTG,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,4ELnbLSQ3HpCYMGS5wiysxDq7FSN95LorJmj1VcWk4X88WGabgfBBKtkiZyL8xJ5k5YfnLQPJCLzpMhpCfwrYj7T
2026-08-03T00:27:46.000Z,SOL/USDC,Close Position,SOL,1.54439613,73.279889,USDC,2.635558,0.999774,115.81,0.06,0.000545342,0.02094,,,,,,,-0.78,0.00,EYMdhoTpaecgvpUjjXMtsPHsfRem5BMQA2gXwqkN5uSg,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,5Fcax71gs1iQDt6t7DcTo8d6yAMqncY4nXLBXJbDiXisHW8UpXCTkGpBVE2BzG4Rt4GNuQnKM2xbxefLdgZyr6Zt
2026-08-02T22:15:45.000Z,SOL/USDC,Open Position,SOL,0.794505886,73.998690,USDC,57.811805,0.999793,116.59,0.00,0,0,,,,,,,0.00,116.59,EYMdhoTpaecgvpUjjXMtsPHsfRem5BMQA2gXwqkN5uSg,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,4QtpMq4xmsnwb1TTkWktdc9Mp8r6aoy5PZB389fYhyzVQXkTVAELw8xK7ciXCnsf2ozq1RTidHtAPfEBfuZw8CEG
2026-08-02T22:00:28.000Z,SOL/USDC,Close Position,SOL,0.000082149,73.984591,USDC,116.467367,0.999851,116.46,0.08,0.000441016,0.051451,,,,,,,0.38,0.00,BU7xzZqFbW1Gj62DSqQ4i5H9WjqbtmCrZos6hQgkr5D3,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,4ukhsXKkBANaPMy7bdMaEQnNGJvS2EGqfKf2x6MPp55p1eQoX6cK6iXQbW7wztvy1DN9B1oU6cJbAKdma7LwzJRG
